timestamp_utc,event,detail
2026-04-02T18:12:37.238955,ALERT_PARTIAL_FACE,"bbox_w=0.376, edge=True"
2026-04-02T18:12:46.242011,ALERT_PARTIAL_FACE,"bbox_w=0.348, edge=True"
2026-04-02T18:12:49.238390,ALERT_PARTIAL_FACE,"bbox_w=0.352, edge=True"
2026-04-02T18:12:55.224396,ALERT_PARTIAL_FACE,"bbox_w=0.349, edge=True"
2026-04-02T18:13:12.230280,ALERT_PARTIAL_FACE,"bbox_w=0.373, edge=True"
2026-04-02T18:13:14.220830,ALERT_NO_FACE,duration=2.0s
2026-04-02T18:13:16.260502,ALERT_PARTIAL_FACE,"bbox_w=0.391, edge=True"
2026-04-02T18:13:20.225137,ALERT_NO_FACE,duration=2.0s
2026-04-02T18:13:21.229122,ALERT_PARTIAL_FACE,"bbox_w=0.375, edge=True"
2026-04-02T18:13:34.232201,ALERT_PARTIAL_FACE,"bbox_w=0.334, edge=True"
2026-04-02T18:13:41.230328,ALERT_PARTIAL_FACE,"bbox_w=0.328, edge=True"
2026-04-02T18:14:02.238349,ALERT_PARTIAL_FACE,"bbox_w=0.325, edge=True"
2026-04-02T18:14:30.230178,ALERT_PARTIAL_FACE,"bbox_w=0.330, edge=True"
2026-04-02T18:14:38.231173,ALERT_PARTIAL_FACE,"bbox_w=0.327, edge=True"
2026-04-02T18:14:42.217860,ALERT_PARTIAL_FACE,"bbox_w=0.325, edge=True"
2026-04-02T18:14:46.229885,ALERT_PARTIAL_FACE,"bbox_w=0.328, edge=True"
2026-04-02T18:14:49.271080,ALERT_PARTIAL_FACE,"bbox_w=0.331, edge=True"
2026-04-02T18:15:02.240690,ALERT_PARTIAL_FACE,"bbox_w=0.322, edge=True"
2026-04-02T18:15:11.234107,ALERT_PARTIAL_FACE,"bbox_w=0.331, edge=True"
2026-04-02T18:15:20.239728,ALERT_PARTIAL_FACE,"bbox_w=0.326, edge=True"
2026-04-02T18:15:38.247701,ALERT_PARTIAL_FACE,"bbox_w=0.322, edge=True"
2026-04-02T18:15:57.238221,ALERT_PARTIAL_FACE,"bbox_w=0.320, edge=True"
2026-04-02T18:16:03.684736,ALERT_PARTIAL_FACE,"bbox_w=0.319, edge=True"
2026-04-02T18:16:34.685545,ALERT_PARTIAL_FACE,"bbox_w=0.323, edge=True"
2026-04-02T18:16:43.229825,ALERT_PARTIAL_FACE,"bbox_w=0.318, edge=True"
2026-04-02T18:16:55.679093,ALERT_PARTIAL_FACE,"bbox_w=0.311, edge=True"
2026-04-02T18:17:24.771040,MONITORING_STOPPED,User stopped monitoring
2026-04-02T18:25:10.325581,SERVER_STARTED,Modular backend server initialized
2026-04-02T18:35:51.357477,QUESTIONS_GENERATED,"session=fb847a92-2642-4105-a0cb-1fb9f67364ba, count=16"
2026-04-02T18:35:55.750532,MONITORING_STARTED,session_id=fb847a92-2642-4105-a0cb-1fb9f67364ba
2026-04-02T18:58:16.487110,SERVER_STARTED,Modular backend server initialized
2026-04-02T18:59:04.594740,QUESTIONS_GENERATED,"session=16949bc6-3eaa-4d08-bc94-d72362f07378, count=16"
2026-04-02T18:59:08.241074,MONITORING_STARTED,session_id=16949bc6-3eaa-4d08-bc94-d72362f07378
2026-04-02T19:16:19.150450,SERVER_STARTED,Modular backend server initialized
2026-04-02T19:17:17.673995,QUESTIONS_GENERATED,"session=66e9cb88-f668-4b09-bb3f-33fa24c27757, count=16"
2026-04-02T19:17:28.255446,MONITORING_STARTED,session_id=66e9cb88-f668-4b09-bb3f-33fa24c27757
2026-04-02T19:18:14.316075,ALERT_PARTIAL_FACE,"bbox_w=0.357, edge=True"
2026-04-02T19:19:26.318561,ALERT_PARTIAL_FACE,"bbox_w=0.365, edge=True"
2026-04-02T19:19:36.314657,ALERT_PARTIAL_FACE,"bbox_w=0.366, edge=True"
2026-04-02T19:19:50.318357,ALERT_PARTIAL_FACE,"bbox_w=0.365, edge=True"
2026-04-02T19:19:54.314546,ALERT_PARTIAL_FACE,"bbox_w=0.358, edge=True"
2026-04-02T19:19:59.315551,ALERT_PARTIAL_FACE,"bbox_w=0.356, edge=True"
2026-04-02T19:20:17.677768,ALERT_NO_FACE,duration=2.0s
2026-04-02T19:21:02.685600,ALERT_PARTIAL_FACE,"bbox_w=0.212, edge=False"
